"","Overall","(0,21]","(21,120]","p","test","SMD","(0,21]:0","(21,120]:0","(0,21]:1","(21,120]:1","p","test","SMD"
"CKD_STAGE_3 = 1 (%)","   6101 (  0.4) ","   111 (  0.0) ","  5990 (  0.8) ","<0.001",""," 0.123","     0 (  0.0) ","     0 (  0.0) ","  111 (  2.7) "," 5990 ( 17.3) ","<0.001",""," 0.378"
"CKD_STAGE_4 = 1 (%)","   2340 (  0.1) ","    52 (  0.0) ","  2288 (  0.3) ","<0.001",""," 0.075","     0 (  0.0) ","     0 (  0.0) ","   52 (  1.3) "," 2288 (  6.6) ","<0.001",""," 0.225"
"CKD_STAGE_5 = 1 (%)","   5974 (  0.3) ","   117 (  0.0) ","  5857 (  0.8) ","<0.001",""," 0.121","     0 (  0.0) ","     0 (  0.0) ","  117 (  2.9) "," 5857 ( 16.9) ","<0.001",""," 0.374"
"CLINIC = 1 (%)"," 395214 ( 22.9) ","240891 ( 25.2) ","154323 ( 20.1) ","<0.001",""," 0.120","239842 ( 25.2) ","149121 ( 20.4) "," 1049 ( 25.7) "," 5202 ( 15.0) ","<0.001",""," 0.153"
"COPD = 1 (%)"," 181198 ( 10.5) "," 79238 (  8.3) ","101960 ( 13.3) ","<0.001",""," 0.163"," 78692 (  8.3) "," 91999 ( 12.6) ","  546 ( 13.4) "," 9961 ( 28.8) ","<0.001",""," 0.278"
"CVA = 1 (%)","  22295 (  1.3) ","  1150 (  0.1) "," 21145 (  2.8) ","<0.001",""," 0.223","  1080 (  0.1) "," 17180 (  2.3) ","   70 (  1.7) "," 3965 ( 11.4) ","<0.001",""," 0.281"
"CVD_HOSP = 1 (%)","  17221 (  1.0) "," 10649 (  1.1) ","  6572 (  0.9) ","<0.001",""," 0.026"," 10332 (  1.1) ","  5417 (  0.7) ","  317 (  7.8) "," 1155 (  3.3) ","<0.001",""," 0.209"
"DIALYSIS = 1 (%)","   5714 (  0.3) ","   121 (  0.0) ","  5593 (  0.7) ","<0.001",""," 0.118","     1 (  0.0) ","    10 (  0.0) ","  120 (  2.9) "," 5583 ( 16.1) ","<0.001",""," 0.366"
"DM = 1 (%)"," 113849 (  6.6) ","  6660 (  0.7) ","107189 ( 14.0) ","<0.001",""," 0.527","  6458 (  0.7) "," 92106 ( 12.6) ","  202 (  5.0) ","15083 ( 43.6) ","<0.001",""," 0.663"
"DYSRHYTH = 1 (%)","  37367 (  2.2) ","  5438 (  0.6) "," 31929 (  4.2) ","<0.001",""," 0.238","  5220 (  0.5) "," 25238 (  3.5) ","  218 (  5.3) "," 6691 ( 19.3) ","<0.001",""," 0.367"
"ED = 1 (%)"," 704184 ( 40.9) ","374704 ( 39.2) ","329480 ( 43.0) ","<0.001",""," 0.078","372086 ( 39.1) ","308742 ( 42.2) "," 2618 ( 64.2) ","20738 ( 59.9) ","<0.001",""," 0.318"
"GI = 1 (%)","  16021 (  0.9) ","  2877 (  0.3) "," 13144 (  1.7) ","<0.001",""," 0.142","  2777 (  0.3) "," 10407 (  1.4) ","  100 (  2.5) "," 2737 (  7.9) ","<0.001",""," 0.222"
"HOMEHEALTH = 1 (%)","  14176 (  0.8) ","  2758 (  0.3) "," 11418 (  1.5) ","<0.001",""," 0.128","  2507 (  0.3) ","  7868 (  1.1) ","  251 (  6.2) "," 3550 ( 10.3) ","<0.001",""," 0.288"
"HTN = 1 (%)"," 173863 ( 10.1) ","  5323 (  0.6) ","168540 ( 22.0) ","<0.001",""," 0.721","  4825 (  0.5) ","146288 ( 20.0) ","  498 ( 12.2) ","22252 ( 64.3) ","<0.001",""," 0.920"
"ICDCRTD = 1 (%)","    133 (  0.0) ","     4 (  0.0) ","   129 (  0.0) ","<0.001",""," 0.018","     3 (  0.0) ","    67 (  0.0) ","    1 (  0.0) ","   62 (  0.2) ","<0.001",""," 0.035"
"INF_HOSP = 1 (%)"," 643115 ( 37.3) ","360795 ( 37.7) ","282320 ( 36.9) ","<0.001",""," 0.018","358153 ( 37.6) ","261144 ( 35.7) "," 2642 ( 64.8) ","21176 ( 61.2) ","<0.001",""," 0.383"
"LABXRAY = 1 (%)","1142733 ( 66.3) ","604689 ( 63.2) ","538044 ( 70.2) ","<0.001",""," 0.150","600699 ( 63.1) ","510406 ( 69.8) "," 3990 ( 97.8) ","27638 ( 79.8) ","<0.001",""," 0.524"
"LIVERDIS = 1 (%)","  11189 (  0.6) ","  1010 (  0.1) "," 10179 (  1.3) ","<0.001",""," 0.145","   937 (  0.1) ","  8224 (  1.1) ","   73 (  1.8) "," 1955 (  5.6) ","<0.001",""," 0.193"
"NONKIDNEYTX = 1 (%)","    795 (  0.0) ","   255 (  0.0) ","   540 (  0.1) ","<0.001",""," 0.020","   203 (  0.0) ","   354 (  0.0) ","   52 (  1.3) ","  186 (  0.5) ","<0.001",""," 0.098"
"NONPEDCONG = 1 (%)","  73529 (  4.3) ","  4112 (  0.4) "," 69417 (  9.1) ","<0.001",""," 0.415","  3897 (  0.4) "," 55834 (  7.6) ","  215 (  5.3) ","13583 ( 39.2) ","<0.001",""," 0.597"
"OPHOSPITAL = 1 (%)"," 826873 ( 48.0) ","443826 ( 46.4) ","383047 ( 50.0) ","<0.001",""," 0.072","440586 ( 46.2) ","360341 ( 49.3) "," 3240 ( 79.4) ","22706 ( 65.6) ","<0.001",""," 0.416"
"OTHCARDIAC = 1 (%)","  51750 (  3.0) "," 15811 (  1.7) "," 35939 (  4.7) ","<0.001",""," 0.174"," 15429 (  1.6) "," 30186 (  4.1) ","  382 (  9.4) "," 5753 ( 16.6) ","<0.001",""," 0.313"
"PAD = 1 (%)","    778 (  0.0) ","    20 (  0.0) ","   758 (  0.1) ","<0.001",""," 0.043","    18 (  0.0) ","   390 (  0.1) ","    2 (  0.0) ","  368 (  1.1) ","<0.001",""," 0.080"
"PCI = 1 (%)","    977 (  0.1) ","     3 (  0.0) ","   974 (  0.1) ","<0.001",""," 0.050","     2 (  0.0) ","   686 (  0.1) ","    1 (  0.0) ","  288 (  0.8) ","<0.001",""," 0.076"
"PEDCKD = 1 (%)","  54988 (  3.2) ","  8425 (  0.9) "," 46563 (  6.1) ","<0.001",""," 0.287","  4775 (  0.5) "," 20057 (  2.7) "," 3650 ( 89.5) ","26506 ( 76.5) ","<0.001",""," 2.141"
"PEDCONG = 1 (%)","   8707 (  0.5) ","  6771 (  0.7) ","  1936 (  0.3) ","<0.001",""," 0.066","  6499 (  0.7) ","  1629 (  0.2) ","  272 (  6.7) ","  307 (  0.9) ","<0.001",""," 0.195"
"PHYSICIANF = 1 (%)","1535639 ( 89.1) ","853109 ( 89.2) ","682530 ( 89.1) "," 0.125",""," 0.002","849075 ( 89.1) ","648372 ( 88.6) "," 4034 ( 98.9) ","34158 ( 98.6) ","<0.001",""," 0.285"
"PSYCH = 0 (%)","1722837 (100.0) ","956755 (100.0) ","766082 (100.0) "," NA","","<0.001","952675 (100.0) ","731453 (100.0) "," 4080 (100.0) ","34629 (100.0) "," NA","","<0.001"
"PVD = 1 (%)","  26663 (  1.5) ","  1128 (  0.1) "," 25535 (  3.3) ","<0.001",""," 0.249","   999 (  0.1) "," 19868 (  2.7) ","  129 (  3.2) "," 5667 ( 16.4) ","<0.001",""," 0.341"
"RCPNT_DLVRY = 1 (%)","  84355 (  4.9) "," 49087 (  5.1) "," 35268 (  4.6) ","<0.001",""," 0.024"," 48405 (  5.1) "," 34452 (  4.7) ","  682 ( 16.7) ","  816 (  2.4) ","<0.001",""," 0.262"
"SNF = 0 (%)","1722837 (100.0) ","956755 (100.0) ","766082 (100.0) "," NA","","<0.001","952675 (100.0) ","731453 (100.0) "," 4080 (100.0) ","34629 (100.0) "," NA","","<0.001"
"TRANSPLANT = 1 (%)","   1276 (  0.1) ","   103 (  0.0) ","  1173 (  0.2) ","<0.001",""," 0.050","    29 (  0.0) ","   445 (  0.1) ","   74 (  1.8) ","  728 (  2.1) ","<0.001",""," 0.139"
"age (mean (sd))","  25.12 (21.49)","  9.40 (5.90)"," 44.76 (17.35)","<0.001",""," 2.729","  9.40 (5.89)"," 44.23 (17.23)"," 9.30 (7.15)","55.80 (15.97)","<0.001",""," 2.279"
"died = 1 (%)","  11048 (  0.6) ","     4 (  0.0) "," 11044 (  1.4) ","<0.001",""," 0.171","     3 (  0.0) ","  9037 (  1.2) ","    1 (  0.0) "," 2007 (  5.8) ","<0.001",""," 0.214"
